startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2018-04-01T00:00:00Z","2018-04-01T00:30:00Z",51.13,48.61,53.23,1.34,1608,2.20,0.03,0,8.062,7.798,8.435,0.025,1608,0.190,0.004,0,-1.306,-1.957,-0.822,0.048,1608,0.286,0.005,0
"2018-04-01T00:30:00Z","2018-04-01T01:00:00Z",56.29,53.23,59.15,2.05,1650,2.20,0.04,0,7.800,7.612,8.058,0.012,1650,0.190,0.003,0,-0.358,-0.929,0.201,0.124,1650,0.264,0.009,0
"2018-04-01T01:00:00Z","2018-04-01T01:30:00Z",61.60,58.90,64.81,3.57,1639,2.20,0.05,0,7.521,7.267,7.844,0.022,1639,0.190,0.004,0,0.568,0.047,1.054,0.096,1639,0.242,0.008,0
"2018-04-01T01:30:00Z","2018-04-01T02:00:00Z",67.52,64.72,68.58,1.17,1626,2.20,0.03,0,6.841,6.666,7.267,0.019,1626,0.190,0.003,0,1.200,0.990,1.342,0.013,1626,0.223,0.003,0
"2018-04-01T02:00:00Z","2018-04-01T02:30:00Z",67.78,64.84,69.43,1.82,1656,2.20,0.03,0,6.381,5.921,6.762,0.039,1656,0.190,0.005,0,0.813,0.065,1.335,0.078,1656,0.222,0.007,0
"2018-04-01T02:30:00Z","2018-04-01T03:00:00Z",63.57,61.18,66.37,1.30,1606,2.20,0.03,0,6.275,5.946,6.629,0.035,1606,0.190,0.005,0,-0.148,-0.552,0.282,0.038,1606,0.233,0.005,0
"2018-04-01T03:00:00Z","2018-04-01T03:30:00Z",65.33,62.56,70.65,3.74,1671,2.20,0.05,0,5.927,5.356,6.136,0.029,1671,0.190,0.004,0,-0.106,-0.504,0.474,0.073,1671,0.229,0.007,0
"2018-04-01T03:30:00Z","2018-04-01T04:00:00Z",72.12,69.66,75.26,3.55,1595,2.20,0.05,0,5.400,5.054,5.708,0.041,1595,0.190,0.005,0,0.731,0.182,1.088,0.061,1595,0.209,0.006,0
"2018-04-01T04:00:00Z","2018-04-01T04:30:00Z",77.32,74.41,78.52,1.41,1688,2.20,0.03,0,4.662,4.447,5.197,0.042,1688,0.190,0.005,0,0.986,0.912,1.075,0.002,1688,0.198,0.001,0
"2018-04-01T04:30:00Z","2018-04-01T05:00:00Z",80.09,78.16,80.89,0.53,1581,2.20,0.02,0,4.335,4.164,4.594,0.008,1581,0.190,0.002,0,1.157,1.001,1.275,0.004,1581,0.190,0.002,0
"2018-04-01T05:00:00Z","2018-04-01T05:30:00Z",81.77,80.57,83.22,0.44,1685,2.20,0.02,0,4.040,3.958,4.165,0.003,1685,0.190,0.001,0,1.159,1.050,1.398,0.007,1685,0.186,0.002,0
"2018-04-01T05:30:00Z","2018-04-01T06:00:00Z",82.82,81.14,84.36,0.72,1592,2.20,0.02,0,4.238,3.928,4.444,0.034,1592,0.190,0.005,0,1.530,1.398,1.649,0.004,1592,0.185,0.002,0
