startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2019-04-01T00:00:00Z","2019-04-01T00:30:00Z",40.48,38.29,44.76,2.11,1680,2.20,0.04,0,7.151,6.412,7.535,0.125,1680,0.191,0.009,0,-4.823,-5.287,-3.783,0.080,1680,0.355,0.007,0
"2019-04-01T00:30:00Z","2019-04-01T01:00:00Z",40.70,38.76,44.99,1.26,1709,2.20,0.03,0,6.100,5.710,6.484,0.045,1709,0.190,0.005,0,-5.602,-6.407,-4.485,0.124,1709,0.350,0.009,0
"2019-04-01T01:00:00Z","2019-04-01T01:30:00Z",41.07,37.22,44.26,2.67,1636,2.20,0.04,0,5.321,5.029,5.710,0.034,1636,0.190,0.005,0,-6.131,-7.046,-5.326,0.197,1636,0.363,0.011,0
"2019-04-01T01:30:00Z","2019-04-01T02:00:00Z",41.78,38.91,45.58,3.21,1589,2.20,0.04,0,5.003,4.776,5.270,0.025,1589,0.190,0.004,0,-6.189,-6.843,-5.252,0.169,1589,0.348,0.010,0
"2019-04-01T02:00:00Z","2019-04-01T02:30:00Z",45.03,40.22,49.71,4.81,1628,2.20,0.05,0,4.412,4.017,4.985,0.062,1628,0.190,0.006,0,-5.801,-6.935,-4.753,0.248,1628,0.338,0.012,0
"2019-04-01T02:30:00Z","2019-04-01T03:00:00Z",41.62,37.82,44.94,2.51,1620,2.20,0.04,0,3.844,3.351,4.264,0.083,1620,0.191,0.007,0,-7.170,-8.650,-6.212,0.351,1620,0.357,0.015,0
"2019-04-01T03:00:00Z","2019-04-01T03:30:00Z",39.53,37.59,44.18,1.78,1633,2.20,0.03,0,2.909,2.378,3.357,0.073,1633,0.190,0.007,0,-8.517,-9.171,-7.601,0.118,1633,0.358,0.009,0
"2019-04-01T03:30:00Z","2019-04-01T04:00:00Z",41.83,37.47,48.08,8.19,1671,2.20,0.07,0,2.111,1.750,2.459,0.059,1671,0.190,0.006,0,-8.538,-9.534,-7.099,0.371,1671,0.360,0.015,0
"2019-04-01T04:00:00Z","2019-04-01T04:30:00Z",45.21,42.22,50.98,4.31,1677,2.20,0.05,0,1.561,1.357,1.757,0.012,1677,0.190,0.003,0,-8.085,-8.780,-6.848,0.227,1677,0.322,0.012,0
"2019-04-01T04:30:00Z","2019-04-01T05:00:00Z",44.32,41.00,49.15,3.66,1679,2.20,0.05,0,1.148,0.771,1.409,0.025,1679,0.190,0.004,0,-8.649,-9.474,-7.622,0.208,1679,0.330,0.011,0
