startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2018-08-01T00:00:00Z","2018-08-01T00:30:00Z",96.78,96.66,97.01,0.01,1451,2.20,0.00,0,24.351,24.240,24.431,0.002,1451,0.190,0.001,1,23.760,23.688,23.826,0.001,1451,0.163,0.001,1
"2018-08-01T00:30:00Z","2018-08-01T01:00:00Z",97.40,97.01,97.62,0.03,1357,2.20,0.00,1,24.096,24.034,24.240,0.003,1357,0.190,0.002,1,23.611,23.570,23.688,0.001,1357,0.163,0.001,1
"2018-08-01T01:00:00Z","2018-08-01T01:30:00Z",97.74,97.58,97.95,0.01,1698,2.20,0.00,0,23.968,23.889,24.062,0.003,1698,0.190,0.001,0,23.541,23.476,23.618,0.002,1698,0.162,0.001,0
"2018-08-01T01:30:00Z","2018-08-01T02:00:00Z",98.12,97.95,98.31,0.01,1800,2.20,0.00,0,23.940,23.854,24.020,0.002,1800,0.190,0.001,0,23.578,23.525,23.646,0.001,1800,0.161,0.001,0
"2018-08-01T02:00:00Z","2018-08-01T02:30:00Z",98.43,98.31,98.53,0.00,1693,2.20,0.00,0,23.823,23.745,23.888,0.002,1693,0.190,0.001,0,23.513,23.442,23.570,0.001,1693,0.161,0.001,0
"2018-08-01T02:30:00Z","2018-08-01T03:00:00Z",98.59,98.52,98.64,0.00,1368,2.20,0.00,1,23.773,23.676,23.825,0.001,1368,0.190,0.001,1,23.491,23.399,23.548,0.001,1368,0.161,0.001,1
"2018-08-01T03:00:00Z","2018-08-01T03:30:00Z",98.67,98.61,98.72,0.00,1516,2.20,0.00,1,23.630,23.596,23.679,0.001,1516,0.190,0.001,1,23.362,23.325,23.403,0.001,1516,0.161,0.001,1
"2018-08-01T03:30:00Z","2018-08-01T04:00:00Z",98.73,98.71,98.77,0.00,1800,2.20,0.00,1,23.590,23.542,23.636,0.001,1800,0.190,0.001,0,23.332,23.286,23.376,0.001,1800,0.160,0.001,0
"2018-08-01T04:00:00Z","2018-08-01T04:30:00Z",,,,,,,,1,23.522,23.495,23.543,0.000,1751,0.190,0.000,0,23.270,23.246,23.296,0.000,1751,0.160,0.000,0
"2018-08-01T04:30:00Z","2018-08-01T05:00:00Z",,,,,,,,1,23.476,23.438,23.522,0.001,1465,0.190,0.001,1,23.229,23.190,23.276,0.001,1465,0.160,0.001,1
"2018-08-01T05:00:00Z","2018-08-01T05:30:00Z",98.86,98.82,98.90,0.00,1404,2.20,0.00,1,23.520,23.443,23.574,0.001,1422,0.190,0.001,1,23.283,23.203,23.343,0.001,1422,0.160,0.001,1
"2018-08-01T05:30:00Z","2018-08-01T06:00:00Z",98.94,98.88,98.99,0.00,1785,2.20,0.00,0,23.649,23.563,23.752,0.003,1785,0.190,0.001,0,23.425,23.330,23.537,0.004,1785,0.160,0.002,0
"2018-08-01T06:00:00Z","2018-08-01T06:30:00Z",98.94,98.93,98.96,0.00,406,2.20,0.00,1,23.497,23.392,23.650,0.004,1796,0.190,0.002,0,23.279,23.176,23.429,0.004,1796,0.160,0.001,0
"2018-08-01T06:30:00Z","2018-08-01T07:00:00Z",,,,,,,,1,23.269,23.134,23.407,0.007,1566,0.190,0.002,1,23.057,22.924,23.193,0.007,1566,0.160,0.002,1
"2018-08-01T07:00:00Z","2018-08-01T07:30:00Z",,,,,,,,1,23.067,23.012,23.135,0.001,1391,0.190,0.001,1,22.859,22.806,22.925,0.001,1391,0.160,0.001,1
"2018-08-01T07:30:00Z","2018-08-01T08:00:00Z",,,,,,,,1,22.996,22.949,23.020,0.000,1789,0.190,0.000,0,22.793,22.745,22.817,0.000,1789,0.160,0.000,0
"2018-08-01T08:00:00Z","2018-08-01T08:30:00Z",,,,,,,,1,22.960,22.918,22.995,0.000,1733,0.190,0.001,0,22.759,22.717,22.796,0.000,1733,0.160,0.001,0
"2018-08-01T08:30:00Z","2018-08-01T09:00:00Z",,,,,,,,1,22.908,22.843,22.962,0.001,1411,0.190,0.001,1,22.707,22.641,22.763,0.001,1411,0.160,0.001,1
"2018-08-01T09:00:00Z","2018-08-01T09:30:00Z",,,,,,,,1,22.888,22.867,22.908,0.000,1596,0.190,0.000,1,22.691,22.669,22.714,0.000,1596,0.160,0.000,1
"2018-08-01T09:30:00Z","2018-08-01T10:00:00Z",,,,,,,,1,22.913,22.893,22.939,0.000,1800,0.190,0.000,0,22.718,22.696,22.745,0.000,1800,0.160,0.000,0
