startDateTime,endDateTime,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF
"2019-03-01T00:00:00Z","2019-03-01T00:30:00Z",0.24,0.12,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T00:30:00Z","2019-03-01T01:00:00Z",0.25,0.12,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T01:00:00Z","2019-03-01T01:30:00Z",0.24,0.16,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T01:30:00Z","2019-03-01T02:00:00Z",0.23,0.10,0.38,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T02:00:00Z","2019-03-01T02:30:00Z",0.23,0.16,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T02:30:00Z","2019-03-01T03:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T03:00:00Z","2019-03-01T03:30:00Z",0.24,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T03:30:00Z","2019-03-01T04:00:00Z",0.24,0.16,0.31,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T04:00:00Z","2019-03-01T04:30:00Z",0.23,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T04:30:00Z","2019-03-01T05:00:00Z",0.23,0.10,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T05:00:00Z","2019-03-01T05:30:00Z",0.23,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T05:30:00Z","2019-03-01T06:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T06:00:00Z","2019-03-01T06:30:00Z",0.24,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T06:30:00Z","2019-03-01T07:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T07:00:00Z","2019-03-01T07:30:00Z",0.23,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T07:30:00Z","2019-03-01T08:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T08:00:00Z","2019-03-01T08:30:00Z",0.23,0.12,0.31,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T08:30:00Z","2019-03-01T09:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T09:00:00Z","2019-03-01T09:30:00Z",0.24,0.10,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T09:30:00Z","2019-03-01T10:00:00Z",0.23,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T10:00:00Z","2019-03-01T10:30:00Z",0.23,-0.07,0.61,0.00,1800,0.06,0.00,0,,,,,,,,
"2019-03-01T10:30:00Z","2019-03-01T11:00:00Z",0.23,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-01T11:00:00Z","2019-03-01T11:30:00Z",0.24,0.03,0.66,0.00,1800,0.06,0.00,0,,,,,,,,
"2019-03-01T11:30:00Z","2019-03-01T12:00:00Z",1.03,0.06,2.04,0.17,1800,0.12,0.01,0,,,,,,,,
"2019-03-01T12:00:00Z","2019-03-01T12:30:00Z",4.33,1.60,6.56,1.75,1800,0.34,0.03,0,,,,,,,,
"2019-03-01T12:30:00Z","2019-03-01T13:00:00Z",11.68,5.74,17.60,11.65,1800,0.91,0.08,0,,,,,,,,
"2019-03-01T13:00:00Z","2019-03-01T13:30:00Z",19.51,16.40,23.65,2.52,1800,1.21,0.04,0,,,,,,,,
"2019-03-01T13:30:00Z","2019-03-01T14:00:00Z",23.45,20.10,27.31,3.64,1800,1.40,0.04,0,,,,,,,,
"2019-03-01T14:00:00Z","2019-03-01T14:30:00Z",33.19,26.69,42.38,15.68,1800,2.17,0.09,0,,,,,,,,
"2019-03-01T14:30:00Z","2019-03-01T15:00:00Z",29.70,23.50,36.66,8.94,1800,1.88,0.07,0,,,,,,,,
"2019-03-01T15:00:00Z","2019-03-01T15:30:00Z",37.77,29.04,47.90,36.48,1800,2.46,0.14,0,,,,,,,,
"2019-03-01T15:30:00Z","2019-03-01T16:00:00Z",43.62,36.33,56.01,13.23,1800,2.86,0.09,0,,,,,,,,
"2019-03-01T16:00:00Z","2019-03-01T16:30:00Z",101.31,56.10,151.52,581.60,1800,7.81,0.57,0,,,,,,,,
"2019-03-01T16:30:00Z","2019-03-01T17:00:00Z",118.09,98.17,134.69,62.30,1800,6.88,0.19,0,,,,,,,,
"2019-03-01T17:00:00Z","2019-03-01T17:30:00Z",125.20,91.35,151.05,328.11,1800,7.75,0.43,0,,,,,,,,
"2019-03-01T17:30:00Z","2019-03-01T18:00:00Z",167.57,129.35,197.64,380.55,1800,10.12,0.46,0,,,,,,,,
"2019-03-01T18:00:00Z","2019-03-01T18:30:00Z",174.48,141.92,196.16,258.56,1800,10.03,0.38,0,,,,,,,,
"2019-03-01T18:30:00Z","2019-03-01T19:00:00Z",117.23,92.59,171.10,398.73,1800,8.78,0.47,0,,,,,,,,
"2019-03-01T19:00:00Z","2019-03-01T19:30:00Z",113.60,91.90,140.54,177.97,1800,7.20,0.31,0,,,,,,,,
"2019-03-01T19:30:00Z","2019-03-01T20:00:00Z",103.07,72.08,142.52,311.89,1800,7.32,0.42,0,,,,,,,,
"2019-03-01T20:00:00Z","2019-03-01T20:30:00Z",72.68,52.27,85.43,68.90,1800,4.38,0.20,0,,,,,,,,
"2019-03-01T20:30:00Z","2019-03-01T21:00:00Z",50.64,39.03,73.73,115.31,1800,3.79,0.25,0,,,,,,,,
"2019-03-01T21:00:00Z","2019-03-01T21:30:00Z",33.02,21.07,41.80,51.84,1800,2.16,0.17,0,,,,,,,,
"2019-03-01T21:30:00Z","2019-03-01T22:00:00Z",14.88,9.64,21.41,8.54,1800,1.10,0.07,0,,,,,,,,
"2019-03-01T22:00:00Z","2019-03-01T22:30:00Z",6.55,3.43,9.89,2.83,1800,0.51,0.04,0,,,,,,,,
"2019-03-01T22:30:00Z","2019-03-01T23:00:00Z",1.62,0.42,3.44,0.72,1800,0.19,0.02,0,,,,,,,,
"2019-03-01T23:00:00Z","2019-03-01T23:30:00Z",0.29,0.14,0.57,0.00,1800,0.06,0.00,0,,,,,,,,
"2019-03-01T23:30:00Z","2019-03-02T00:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T00:00:00Z","2019-03-02T00:30:00Z",0.23,0.10,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T00:30:00Z","2019-03-02T01:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T01:00:00Z","2019-03-02T01:30:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T01:30:00Z","2019-03-02T02:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T02:00:00Z","2019-03-02T02:30:00Z",0.23,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T02:30:00Z","2019-03-02T03:00:00Z",0.24,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T03:00:00Z","2019-03-02T03:30:00Z",0.24,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T03:30:00Z","2019-03-02T04:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T04:00:00Z","2019-03-02T04:30:00Z",0.23,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T04:30:00Z","2019-03-02T05:00:00Z",0.23,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T05:00:00Z","2019-03-02T05:30:00Z",0.23,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T05:30:00Z","2019-03-02T06:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T06:00:00Z","2019-03-02T06:30:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T06:30:00Z","2019-03-02T07:00:00Z",0.24,0.14,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T07:00:00Z","2019-03-02T07:30:00Z",0.24,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T07:30:00Z","2019-03-02T08:00:00Z",0.24,0.16,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T08:00:00Z","2019-03-02T08:30:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T08:30:00Z","2019-03-02T09:00:00Z",0.24,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T09:00:00Z","2019-03-02T09:30:00Z",0.23,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T09:30:00Z","2019-03-02T10:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T10:00:00Z","2019-03-02T10:30:00Z",0.24,0.16,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T10:30:00Z","2019-03-02T11:00:00Z",0.23,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-03-02T11:00:00Z","2019-03-02T11:30:00Z",0.33,0.16,0.72,0.01,1800,0.06,0.00,0,,,,,,,,
"2019-03-02T11:30:00Z","2019-03-02T12:00:00Z",3.03,0.64,6.49,2.16,1800,0.34,0.03,0,,,,,,,,
"2019-03-02T12:00:00Z","2019-03-02T12:30:00Z",11.35,5.48,18.33,21.72,1800,0.96,0.11,0,,,,,,,,
"2019-03-02T12:30:00Z","2019-03-02T13:00:00Z",41.18,12.65,85.08,539.89,1800,4.48,0.55,0,,,,,,,,
"2019-03-02T13:00:00Z","2019-03-02T13:30:00Z",58.28,42.08,84.65,123.04,1800,4.35,0.26,0,,,,,,,,
"2019-03-02T13:30:00Z","2019-03-02T14:00:00Z",89.84,48.16,123.41,349.37,1800,6.36,0.44,0,,,,,,,,
"2019-03-02T14:00:00Z","2019-03-02T14:30:00Z",117.60,94.49,147.48,182.14,1800,7.55,0.32,0,,,,,,,,
"2019-03-02T14:30:00Z","2019-03-02T15:00:00Z",99.32,83.21,120.71,107.29,1800,6.18,0.24,0,,,,,,,,
"2019-03-02T15:00:00Z","2019-03-02T15:30:00Z",143.92,105.92,176.80,433.06,1800,9.07,0.49,0,,,,,,,,
"2019-03-02T15:30:00Z","2019-03-02T16:00:00Z",86.86,68.44,109.78,127.92,1800,5.62,0.27,0,,,,,,,,
"2019-03-02T16:00:00Z","2019-03-02T16:30:00Z",141.81,84.71,166.23,664.30,1800,8.56,0.61,0,,,,,,,,
"2019-03-02T16:30:00Z","2019-03-02T17:00:00Z",161.29,129.67,196.37,238.40,1800,10.04,0.36,0,,,,,,,,
"2019-03-02T17:00:00Z","2019-03-02T17:30:00Z",235.89,151.56,761.54,8793.00,1800,39.09,2.21,0,,,,,,,,
"2019-03-02T17:30:00Z","2019-03-02T18:00:00Z",230.11,138.93,401.36,2566.26,1800,20.61,1.19,0,,,,,,,,
"2019-03-02T18:00:00Z","2019-03-02T18:30:00Z",251.32,170.25,393.59,2161.15,1800,20.19,1.10,0,,,,,,,,
"2019-03-02T18:30:00Z","2019-03-02T19:00:00Z",133.91,106.59,203.09,798.11,1800,10.44,0.67,0,,,,,,,,
"2019-03-02T19:00:00Z","2019-03-02T19:30:00Z",182.58,113.52,298.06,1920.56,1800,15.34,1.03,0,,,,,,,,
"2019-03-02T19:30:00Z","2019-03-02T20:00:00Z",201.55,142.11,341.95,1180.68,1800,17.51,0.81,0,,,,,,,,
