startDateTime,endDateTime,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF
"2019-04-01T00:00:00Z","2019-04-01T00:30:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T00:30:00Z","2019-04-01T01:00:00Z",0.25,0.16,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T01:00:00Z","2019-04-01T01:30:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T01:30:00Z","2019-04-01T02:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T02:00:00Z","2019-04-01T02:30:00Z",0.24,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T02:30:00Z","2019-04-01T03:00:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T03:00:00Z","2019-04-01T03:30:00Z",0.24,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T03:30:00Z","2019-04-01T04:00:00Z",0.25,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T04:00:00Z","2019-04-01T04:30:00Z",0.25,0.08,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T04:30:00Z","2019-04-01T05:00:00Z",0.24,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T05:00:00Z","2019-04-01T05:30:00Z",0.24,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T05:30:00Z","2019-04-01T06:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T06:00:00Z","2019-04-01T06:30:00Z",0.23,-0.12,0.57,0.00,1800,0.06,0.00,0,,,,,,,,
"2019-04-01T06:30:00Z","2019-04-01T07:00:00Z",0.23,-0.05,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T07:00:00Z","2019-04-01T07:30:00Z",0.24,-0.07,0.64,0.02,1800,0.06,0.00,0,,,,,,,,
"2019-04-01T07:30:00Z","2019-04-01T08:00:00Z",0.23,-0.10,0.62,0.01,1800,0.06,0.00,0,,,,,,,,
"2019-04-01T08:00:00Z","2019-04-01T08:30:00Z",0.24,-0.05,0.62,0.00,1800,0.06,0.00,0,,,,,,,,
"2019-04-01T08:30:00Z","2019-04-01T09:00:00Z",0.24,0.01,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T09:00:00Z","2019-04-01T09:30:00Z",0.24,0.12,0.33,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T09:30:00Z","2019-04-01T10:00:00Z",0.24,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T10:00:00Z","2019-04-01T10:30:00Z",0.25,0.14,0.38,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-01T10:30:00Z","2019-04-01T11:00:00Z",2.56,0.25,8.06,5.07,1800,0.43,0.05,0,,,,,,,,
"2019-04-01T11:00:00Z","2019-04-01T11:30:00Z",17.88,8.02,28.09,33.95,1800,1.46,0.14,0,,,,,,,,
"2019-04-01T11:30:00Z","2019-04-01T12:00:00Z",54.38,28.07,141.94,525.27,1800,7.32,0.54,0,,,,,,,,
"2019-04-01T12:00:00Z","2019-04-01T12:30:00Z",139.27,63.23,315.63,3523.48,1800,16.34,1.40,0,,,,,,,,
"2019-04-01T12:30:00Z","2019-04-01T13:00:00Z",174.76,70.53,341.73,4911.09,1800,17.74,1.65,0,,,,,,,,
"2019-04-01T13:00:00Z","2019-04-01T13:30:00Z",193.23,73.73,400.16,8072.02,1800,20.84,2.12,0,,,,,,,,
"2019-04-01T13:30:00Z","2019-04-01T14:00:00Z",306.70,85.42,853.92,21215.51,1800,44.09,3.43,0,,,,,,,,
"2019-04-01T14:00:00Z","2019-04-01T14:30:00Z",528.71,95.52,1029.97,50746.64,1800,53.59,5.31,0,,,,,,,,
"2019-04-01T14:30:00Z","2019-04-01T15:00:00Z",103.38,95.35,278.81,814.27,1800,14.28,0.67,0,,,,,,,,
"2019-04-01T15:00:00Z","2019-04-01T15:30:00Z",322.19,99.59,802.85,52343.79,1800,42.34,5.39,0,,,,,,,,
"2019-04-01T15:30:00Z","2019-04-01T16:00:00Z",949.56,107.34,1474.85,115342.87,1800,76.90,8.00,0,,,,,,,,
"2019-04-01T16:00:00Z","2019-04-01T16:30:00Z",902.97,361.70,1564.27,69826.58,1800,80.74,6.23,0,,,,,,,,
"2019-04-01T16:30:00Z","2019-04-01T17:00:00Z",1341.50,847.72,1552.81,20256.48,1800,79.48,3.35,0,,,,,,,,
"2019-04-01T17:00:00Z","2019-04-01T17:30:00Z",1041.85,189.24,1553.92,144364.74,1800,81.25,8.96,0,,,,,,,,
"2019-04-01T17:30:00Z","2019-04-01T18:00:00Z",290.59,105.79,645.13,18626.57,1800,33.53,3.22,0,,,,,,,,
"2019-04-01T18:00:00Z","2019-04-01T18:30:00Z",413.08,100.82,1345.78,163135.09,1800,71.23,9.52,0,,,,,,,,
"2019-04-01T18:30:00Z","2019-04-01T19:00:00Z",352.42,101.52,976.63,64654.61,1800,51.23,5.99,0,,,,,,,,
"2019-04-01T19:00:00Z","2019-04-01T19:30:00Z",690.85,102.79,1015.50,45533.11,1800,52.76,5.03,0,,,,,,,,
"2019-04-01T19:30:00Z","2019-04-01T20:00:00Z",738.12,176.45,1145.67,73779.24,1800,59.82,6.40,0,,,,,,,,
"2019-04-01T20:00:00Z","2019-04-01T20:30:00Z",378.36,88.93,967.30,99818.59,1800,51.53,7.45,0,,,,,,,,
"2019-04-01T20:30:00Z","2019-04-01T21:00:00Z",182.63,80.55,560.35,21769.14,1800,29.41,3.48,0,,,,,,,,
"2019-04-01T21:00:00Z","2019-04-01T21:30:00Z",268.32,76.96,530.83,20840.68,1800,27.91,3.40,0,,,,,,,,
"2019-04-01T21:30:00Z","2019-04-01T22:00:00Z",175.20,67.87,342.40,6285.58,1800,17.86,1.87,0,,,,,,,,
"2019-04-01T22:00:00Z","2019-04-01T22:30:00Z",66.61,45.35,122.71,312.95,1800,6.31,0.42,0,,,,,,,,
"2019-04-01T22:30:00Z","2019-04-01T23:00:00Z",36.58,22.77,45.87,41.68,1800,2.36,0.15,0,,,,,,,,
"2019-04-01T23:00:00Z","2019-04-01T23:30:00Z",11.44,2.62,22.83,39.02,1800,1.20,0.15,0,,,,,,,,
"2019-04-01T23:30:00Z","2019-04-02T00:00:00Z",0.78,0.18,2.66,0.43,1800,0.15,0.02,0,,,,,,,,
"2019-04-02T00:00:00Z","2019-04-02T00:30:00Z",0.25,0.12,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T00:30:00Z","2019-04-02T01:00:00Z",0.26,0.10,0.38,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T01:00:00Z","2019-04-02T01:30:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T01:30:00Z","2019-04-02T02:00:00Z",0.26,0.16,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T02:00:00Z","2019-04-02T02:30:00Z",0.25,0.16,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T02:30:00Z","2019-04-02T03:00:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T03:00:00Z","2019-04-02T03:30:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T03:30:00Z","2019-04-02T04:00:00Z",0.25,0.12,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T04:00:00Z","2019-04-02T04:30:00Z",0.25,0.16,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T04:30:00Z","2019-04-02T05:00:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T05:00:00Z","2019-04-02T05:30:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T05:30:00Z","2019-04-02T06:00:00Z",0.25,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T06:00:00Z","2019-04-02T06:30:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T06:30:00Z","2019-04-02T07:00:00Z",0.25,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T07:00:00Z","2019-04-02T07:30:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T07:30:00Z","2019-04-02T08:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T08:00:00Z","2019-04-02T08:30:00Z",0.24,0.12,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T08:30:00Z","2019-04-02T09:00:00Z",0.24,0.14,0.34,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T09:00:00Z","2019-04-02T09:30:00Z",0.25,0.14,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T09:30:00Z","2019-04-02T10:00:00Z",0.25,0.16,0.36,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T10:00:00Z","2019-04-02T10:30:00Z",0.26,0.14,0.42,0.00,1800,0.05,0.00,0,,,,,,,,
"2019-04-02T10:30:00Z","2019-04-02T11:00:00Z",2.67,0.29,8.41,5.43,1800,0.45,0.05,0,,,,,,,,
"2019-04-02T11:00:00Z","2019-04-02T11:30:00Z",19.29,8.41,32.48,46.01,1800,1.69,0.16,0,,,,,,,,
"2019-04-02T11:30:00Z","2019-04-02T12:00:00Z",56.96,32.54,89.02,257.11,1800,4.60,0.38,0,,,,,,,,
"2019-04-02T12:00:00Z","2019-04-02T12:30:00Z",125.94,68.11,251.06,1813.13,1800,12.96,1.00,0,,,,,,,,
"2019-04-02T12:30:00Z","2019-04-02T13:00:00Z",176.13,100.93,291.06,2371.21,1800,15.02,1.15,0,,,,,,,,
"2019-04-02T13:00:00Z","2019-04-02T13:30:00Z",205.85,97.65,358.32,5441.80,1800,18.60,1.74,0,,,,,,,,
"2019-04-02T13:30:00Z","2019-04-02T14:00:00Z",322.87,123.90,719.12,21351.29,1800,37.32,3.44,0,,,,,,,,
"2019-04-02T14:00:00Z","2019-04-02T14:30:00Z",504.80,220.67,760.75,17477.98,1800,39.30,3.12,0,,,,,,,,
"2019-04-02T14:30:00Z","2019-04-02T15:00:00Z",299.92,272.08,325.91,213.19,1800,16.64,0.34,0,,,,,,,,
"2019-04-02T15:00:00Z","2019-04-02T15:30:00Z",323.66,240.29,578.95,5766.23,1800,29.74,1.79,0,,,,,,,,
"2019-04-02T15:30:00Z","2019-04-02T16:00:00Z",247.01,155.35,437.13,3441.84,1800,22.46,1.38,0,,,,,,,,
"2019-04-02T16:00:00Z","2019-04-02T16:30:00Z",218.85,118.13,289.80,2300.18,1800,14.95,1.13,0,,,,,,,,
"2019-04-02T16:30:00Z","2019-04-02T17:00:00Z",78.91,55.50,117.93,191.89,1800,6.05,0.33,0,,,,,,,,
"2019-04-02T17:00:00Z","2019-04-02T17:30:00Z",143.40,96.27,185.30,368.37,1800,9.49,0.45,0,,,,,,,,
"2019-04-02T17:30:00Z","2019-04-02T18:00:00Z",137.39,98.98,203.15,1065.66,1800,10.47,0.77,0,,,,,,,,
"2019-04-02T18:00:00Z","2019-04-02T18:30:00Z",80.59,61.35,101.18,141.75,1800,5.19,0.28,0,,,,,,,,
"2019-04-02T18:30:00Z","2019-04-02T19:00:00Z",123.73,83.68,165.49,692.08,1800,8.53,0.62,0,,,,,,,,
"2019-04-02T19:00:00Z","2019-04-02T19:30:00Z",99.23,64.49,133.41,365.26,1800,6.86,0.45,0,,,,,,,,
"2019-04-02T19:30:00Z","2019-04-02T20:00:00Z",112.30,107.40,117.01,7.83,1800,5.97,0.07,0,,,,,,,,
"2019-04-02T20:00:00Z","2019-04-02T20:30:00Z",93.13,73.39,108.97,122.37,1800,5.58,0.26,0,,,,,,,,
