startDateTime,endDateTime,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF
"2018-03-01T00:00:00Z","2018-03-01T00:30:00Z",-0.44,-0.70,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T00:30:00Z","2018-03-01T01:00:00Z",-0.43,-0.67,-0.13,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T01:00:00Z","2018-03-01T01:30:00Z",-0.44,-0.70,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T01:30:00Z","2018-03-01T02:00:00Z",-0.45,-0.67,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T02:00:00Z","2018-03-01T02:30:00Z",-0.44,-0.73,-0.23,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T02:30:00Z","2018-03-01T03:00:00Z",-0.45,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T03:00:00Z","2018-03-01T03:30:00Z",-0.45,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T03:30:00Z","2018-03-01T04:00:00Z",-0.44,-0.67,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T04:00:00Z","2018-03-01T04:30:00Z",-0.45,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T04:30:00Z","2018-03-01T05:00:00Z",-0.45,-0.70,-0.23,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T05:00:00Z","2018-03-01T05:30:00Z",-0.44,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T05:30:00Z","2018-03-01T06:00:00Z",-0.45,-0.67,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T06:00:00Z","2018-03-01T06:30:00Z",-0.45,-0.73,-0.23,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T06:30:00Z","2018-03-01T07:00:00Z",-0.44,-0.67,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T07:00:00Z","2018-03-01T07:30:00Z",-0.45,-0.67,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T07:30:00Z","2018-03-01T08:00:00Z",-0.46,-0.73,-0.26,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T08:00:00Z","2018-03-01T08:30:00Z",-0.44,-0.67,-0.16,0.01,1799,0.09,0.00,0,,,,,,,,
"2018-03-01T08:30:00Z","2018-03-01T09:00:00Z",-0.45,-0.70,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T09:00:00Z","2018-03-01T09:30:00Z",-0.46,-0.73,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T09:30:00Z","2018-03-01T10:00:00Z",-0.43,-0.70,-0.13,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T10:00:00Z","2018-03-01T10:30:00Z",-0.46,-0.73,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T10:30:00Z","2018-03-01T11:00:00Z",-0.45,-0.70,-0.13,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T11:00:00Z","2018-03-01T11:30:00Z",-0.39,-0.67,0.00,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T11:30:00Z","2018-03-01T12:00:00Z",1.37,-0.26,4.91,1.80,1800,0.19,0.03,0,,,,,,,,
"2018-03-01T12:00:00Z","2018-03-01T12:30:00Z",10.28,4.50,20.75,21.38,1800,0.69,0.11,0,,,,,,,,
"2018-03-01T12:30:00Z","2018-03-01T13:00:00Z",29.27,20.62,38.01,26.68,1800,1.21,0.12,0,,,,,,,,
"2018-03-01T13:00:00Z","2018-03-01T13:30:00Z",58.37,34.11,84.88,295.30,1800,2.75,0.41,0,,,,,,,,
"2018-03-01T13:30:00Z","2018-03-01T14:00:00Z",54.70,38.85,81.25,260.85,1800,2.63,0.38,0,,,,,,,,
"2018-03-01T14:00:00Z","2018-03-01T14:30:00Z",62.04,50.73,69.43,15.84,1800,2.16,0.09,0,,,,,,,,
"2018-03-01T14:30:00Z","2018-03-01T15:00:00Z",64.84,59.03,68.66,6.69,1800,2.13,0.06,0,,,,,,,,
"2018-03-01T15:00:00Z","2018-03-01T15:30:00Z",75.93,61.55,89.18,94.18,1800,2.80,0.23,0,,,,,,,,
"2018-03-01T15:30:00Z","2018-03-01T16:00:00Z",95.58,82.19,103.18,34.32,1800,3.21,0.14,0,,,,,,,,
"2018-03-01T16:00:00Z","2018-03-01T16:30:00Z",123.65,97.70,136.55,102.87,1800,4.26,0.24,0,,,,,,,,
"2018-03-01T16:30:00Z","2018-03-01T17:00:00Z",116.09,97.07,137.15,119.06,1800,4.28,0.26,0,,,,,,,,
"2018-03-01T17:00:00Z","2018-03-01T17:30:00Z",162.43,110.90,201.52,761.34,1800,6.38,0.65,0,,,,,,,,
"2018-03-01T17:30:00Z","2018-03-01T18:00:00Z",159.72,143.10,175.70,76.31,1800,5.46,0.21,0,,,,,,,,
"2018-03-01T18:00:00Z","2018-03-01T18:30:00Z",154.74,113.48,186.24,413.94,1800,5.85,0.48,0,,,,,,,,
"2018-03-01T18:30:00Z","2018-03-01T19:00:00Z",76.36,67.79,113.72,143.42,1800,3.57,0.28,0,,,,,,,,
"2018-03-01T19:00:00Z","2018-03-01T19:30:00Z",70.72,56.11,88.74,41.56,1800,2.77,0.15,0,,,,,,,,
"2018-03-01T19:30:00Z","2018-03-01T20:00:00Z",76.27,60.30,94.85,77.94,1800,2.97,0.21,0,,,,,,,,
"2018-03-01T20:00:00Z","2018-03-01T20:30:00Z",47.97,40.02,60.24,19.89,1800,1.88,0.11,0,,,,,,,,
"2018-03-01T20:30:00Z","2018-03-01T21:00:00Z",38.35,26.29,47.14,39.80,1800,1.49,0.15,0,,,,,,,,
"2018-03-01T21:00:00Z","2018-03-01T21:30:00Z",27.01,21.26,33.71,16.55,1800,1.07,0.10,0,,,,,,,,
"2018-03-01T21:30:00Z","2018-03-01T22:00:00Z",22.20,13.00,31.26,28.26,1800,1.01,0.13,0,,,,,,,,
"2018-03-01T22:00:00Z","2018-03-01T22:30:00Z",6.88,1.55,14.91,13.61,1800,0.50,0.09,0,,,,,,,,
"2018-03-01T22:30:00Z","2018-03-01T23:00:00Z",0.42,-0.37,1.72,0.23,1800,0.11,0.01,0,,,,,,,,
"2018-03-01T23:00:00Z","2018-03-01T23:30:00Z",-0.39,-0.70,-0.10,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-01T23:30:00Z","2018-03-02T00:00:00Z",-0.44,-0.70,-0.20,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T00:00:00Z","2018-03-02T00:30:00Z",-0.45,-0.67,-0.26,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T00:30:00Z","2018-03-02T01:00:00Z",-0.46,-0.67,-0.26,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T01:00:00Z","2018-03-02T01:30:00Z",-0.46,-0.77,-0.20,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T01:30:00Z","2018-03-02T02:00:00Z",-0.45,-0.73,-0.23,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T02:00:00Z","2018-03-02T02:30:00Z",-0.44,-0.73,-0.16,0.01,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T02:30:00Z","2018-03-02T03:00:00Z",-0.44,-0.70,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T03:00:00Z","2018-03-02T03:30:00Z",-0.46,-0.67,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T03:30:00Z","2018-03-02T04:00:00Z",-0.45,-0.67,-0.26,0.00,1800,0.09,0.00,0,,,,,,,,
"2018-03-02T04:00:00Z","2018-03-02T04:30:00Z",-0.45,-0.73,-0.23,0.00,1800,0.09,0.00,0,,,,,,,,
