3,2018,130,1100,0.3846556298875176,75.211308,0.374,0.404,0.38,0.439,0.42,0.417
3,2018,130,1130,0.44563594682110724,137.470146,0.391,0.452,0.418,0.488,0.484,0.439
3,2018,130,1200,0.6396665716799442,196.90762800000002,0.378,0.437,0.407,0.468,0.476,0.413
3,2018,130,1230,0.682763015166057,228.45528000000002,0.402,0.457,0.43,0.499,0.495,0.442
3,2018,130,1300,0.6523878989109057,324.183222,0.409,0.467,0.433,0.505,0.504,0.444
3,2018,130,1330,0.712933773818784,204.314178,0.391,0.451,0.42,0.49,0.494,0.423
3,2018,130,1400,0.7404494458231764,210.44412,0.387,0.443,0.418,0.487,0.488,0.412
3,2018,130,1430,0.8981225805966568,184.475088,0.388,0.442,0.418,0.493,0.486,0.413
3,2018,130,1500,0.8817665683279446,230.69261400000005,0.395,0.447,0.426,0.499,0.484,0.42
3,2018,130,1530,0.8706959791928918,338.68044000000003,0.399,0.459,0.435,0.51,0.493,0.415
3,2018,130,1600,0.9369047336967603,109.847148,0.414,0.467,0.445,0.521,0.505,0.437
3,2018,130,1630,1.0487174571374056,236.42754,0.427,0.479,0.45,0.53,0.515,0.454
3,2018,130,1700,1.2632446534928452,342.38338799999997,0.448,0.501,0.465,0.549,0.53,0.477
3,2018,130,1730,1.1977361776113182,458.659356,0.466,0.515,0.477,0.562,0.543,0.494
3,2018,130,1800,1.0111647088581017,513.528648,0.504,0.542,0.501,0.586,0.563,0.532
3,2018,130,1830,1.054791620923073,404.75275200000004,0.528,0.562,0.518,0.601,0.578,0.562
3,2018,130,1900,1.1062695623373844,394.9198620000001,0.543,0.571,0.53,0.61,0.589,0.577
3,2018,130,1930,0.9342094349890107,335.85908400000005,0.553,0.579,0.539,0.615,0.594,0.585
3,2018,130,2000,0.8919398019450009,155.765142,0.558,0.586,0.543,0.619,0.6,0.593
3,2018,130,2030,1.0018914011525275,125.52614400000002,0.557,0.588,0.547,0.618,0.602,0.595
3,2018,130,2100,1.1921219600867974,97.666398,0.56,0.592,0.547,0.62,0.604,0.599
