"TOA5","CR1000-SHORE","CR1000","86619","CR1000.Std.31.03","CPU:Sapflow_SERC.CR1","2121","Table1"
"TIMESTAMP","RECORD","DiffVolt_Avg(1)","DiffVolt_Avg(2)","DiffVolt_Avg(3)","DiffVolt_Avg(4)","DiffVolt_Avg(5)","DiffVolt_Avg(6)"
"TS","RN","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-31 12:30:00",5258,0.322,0.498,0.392,0.538,0.365,0.435
"2018-08-31 13:00:00",5259,0.32,0.497,0.392,0.54,0.358,0.44
"2018-08-31 13:30:00",5260,0.32,0.493,0.394,0.545,0.356,0.439
"2018-08-31 14:00:00",5261,0.32,0.491,0.394,0.545,0.357,0.435
"2018-08-31 14:30:00",5262,0.319,0.488,0.391,0.541,0.354,0.43
"2018-08-31 15:00:00",5263,0.327,0.49,0.39,0.54,0.356,0.433
"2018-08-31 15:30:00",5264,0.337,0.491,0.395,0.544,0.36,0.434
"2018-08-31 16:00:00",5265,0.348,0.494,0.401,0.548,0.364,0.439
"2018-08-31 16:30:00",5266,0.354,0.496,0.403,0.552,0.365,0.446
"2018-08-31 17:00:00",5267,0.367,0.505,0.415,0.565,0.374,0.461
"2018-08-31 17:30:00",5268,0.39,0.521,0.435,0.58,0.392,0.487
"2018-08-31 18:00:00",5269,0.402,0.532,0.449,0.594,0.406,0.5
"2018-08-31 18:30:00",5270,0.408,0.535,0.457,0.601,0.414,0.505
"2018-08-31 19:00:00",5271,0.414,0.537,0.454,0.601,0.419,0.515
"2018-08-31 19:30:00",5272,0.428,0.544,0.463,0.607,0.43,0.536
"2018-08-31 20:00:00",5273,0.44,0.552,0.475,0.613,0.442,0.554
"2018-08-31 20:30:00",5274,0.449,0.557,0.481,0.617,0.45,0.565
"2018-08-31 21:00:00",5275,0.457,0.563,0.489,0.622,0.456,0.573
"2018-08-31 21:30:00",5276,0.464,0.567,0.495,0.627,0.461,0.58
"2018-08-31 22:00:00",5277,0.467,0.568,0.496,0.628,0.462,0.583
"2018-08-31 22:30:00",5278,0.465,0.566,0.481,0.62,0.454,0.581
"2018-08-31 23:00:00",5279,0.479,0.574,0.495,0.627,0.465,0.594
"2018-08-31 23:30:00",5280,0.487,0.577,0.501,0.633,0.469,0.599
